"Measurement.number","Individual","Value","Group","Index"
8,"HART.14",0.7108776,"HART",1
10,"HART.14",0.7102823,"HART",2
12,"HART.14",0.7109723,"HART",3
13,"HART.14",0.7105907,"HART",4
16,"HART.14",0.7103594,"HART",5
18,"HART.14",0.7106679,"HART",6
19,"HART.14",0.7108729,"HART",7
20,"HART.14",0.7106183,"HART",8
21,"HART.14",0.7107631,"HART",9
22,"HART.14",0.7099336,"HART",10
24,"HART.14",0.7106493,"HART",11
25,"HART.14",0.7101303,"HART",12
26,"HART.14",0.710835,"HART",13
27,"HART.14",0.7098721,"HART",14
29,"HART.14",0.7096071,"HART",15
30,"HART.14",0.7099067,"HART",16
31,"HART.14",0.7103496,"HART",17
32,"HART.14",0.7102858,"HART",18
33,"HART.14",0.7103923,"HART",19
34,"HART.14",0.7103845,"HART",20
35,"HART.14",0.7101315,"HART",21
36,"HART.14",0.7102378,"HART",22
37,"HART.14",0.710903,"HART",23
38,"HART.14",0.7101841,"HART",24
39,"HART.14",0.7100129,"HART",25
40,"HART.14",0.7093714,"HART",26
41,"HART.14",0.7104274,"HART",27
42,"HART.14",0.7092977,"HART",28
43,"HART.14",0.710222,"HART",29
44,"HART.14",0.709732,"HART",30
45,"HART.14",0.7097601,"HART",31
46,"HART.14",0.709926,"HART",32
47,"HART.14",0.7095332,"HART",33
48,"HART.14",0.7099011,"HART",34
49,"HART.14",0.7104817,"HART",35
50,"HART.14",0.7104333,"HART",36
51,"HART.14",0.7097715,"HART",37
52,"HART.14",0.7092411,"HART",38
53,"HART.14",0.7100957,"HART",39
54,"HART.14",0.7095252,"HART",40
55,"HART.14",0.7098763,"HART",41
56,"HART.14",0.7102581,"HART",42
58,"HART.14",0.7101932,"HART",43
59,"HART.14",0.7099027,"HART",44
60,"HART.14",0.7092457,"HART",45
61,"HART.14",0.7098609,"HART",46
63,"HART.14",0.7092354,"HART",47
64,"HART.14",0.7106693,"HART",48
65,"HART.14",0.7103691,"HART",49
66,"HART.14",0.7097882,"HART",50
67,"HART.14",0.7097718,"HART",51
68,"HART.14",0.7103451,"HART",52
69,"HART.14",0.7106275,"HART",53
70,"HART.14",0.7092507,"HART",54
71,"HART.14",0.7099632,"HART",55
72,"HART.14",0.7109651,"HART",56
73,"HART.14",0.7102386,"HART",57
74,"HART.14",0.7081844,"HART",58
75,"HART.14",0.7105399,"HART",59
76,"HART.14",0.7100492,"HART",60
77,"HART.14",0.7097915,"HART",61
78,"HART.14",0.7106558,"HART",62
79,"HART.14",0.7098099,"HART",63
80,"HART.14",0.7098843,"HART",64
81,"HART.14",0.7096241,"HART",65
82,"HART.14",0.7097114,"HART",66
83,"HART.14",0.7101177,"HART",67
84,"HART.14",0.709868,"HART",68
85,"HART.14",0.7079657,"HART",69
86,"HART.14",0.709689,"HART",70
87,"HART.14",0.7096201,"HART",71
88,"HART.14",0.7099805,"HART",72
89,"HART.14",0.709688,"HART",73
90,"HART.14",0.710004,"HART",74
91,"HART.14",0.7092954,"HART",75
92,"HART.14",0.7098101,"HART",76
93,"HART.14",0.7101195,"HART",77
94,"HART.14",0.7091542,"HART",78
95,"HART.14",0.7097744,"HART",79
96,"HART.14",0.7100855,"HART",80
97,"HART.14",0.7091274,"HART",81
98,"HART.14",0.7098486,"HART",82
99,"HART.14",0.710249,"HART",83
100,"HART.14",0.70958,"HART",84
101,"HART.14",0.7089579,"HART",85
102,"HART.14",0.7095392,"HART",86
103,"HART.14",0.7094983,"HART",87
104,"HART.14",0.7093387,"HART",88
105,"HART.14",0.7097662,"HART",89
106,"HART.14",0.7095417,"HART",90
107,"HART.14",0.7088248,"HART",91
108,"HART.14",0.7103509,"HART",92
109,"HART.14",0.709255,"HART",93
110,"HART.14",0.7096753,"HART",94
111,"HART.14",0.709946,"HART",95
112,"HART.14",0.7089054,"HART",96
113,"HART.14",0.7084676,"HART",97
114,"HART.14",0.7096087,"HART",98
115,"HART.14",0.7094905,"HART",99
116,"HART.14",0.7092673,"HART",100
117,"HART.14",0.7093556,"HART",101
118,"HART.14",0.7092729,"HART",102
119,"HART.14",0.709725,"HART",103
120,"HART.14",0.7092058,"HART",104
121,"HART.14",0.7095361,"HART",105
122,"HART.14",0.709604,"HART",106
123,"HART.14",0.7100809,"HART",107
124,"HART.14",0.7095315,"HART",108
