"Measurement.number","Individual","Value","Group","Index"
2,"JACK.25",0.7073022,"JACK",1
3,"JACK.25",0.7090377,"JACK",2
4,"JACK.25",0.709002,"JACK",3
5,"JACK.25",0.7093811,"JACK",4
6,"JACK.25",0.7099177,"JACK",5
7,"JACK.25",0.708011,"JACK",6
8,"JACK.25",0.7093095,"JACK",7
9,"JACK.25",0.7085997,"JACK",8
10,"JACK.25",0.7084049,"JACK",9
11,"JACK.25",0.7098894,"JACK",10
12,"JACK.25",0.7093799,"JACK",11
13,"JACK.25",0.7087122,"JACK",12
14,"JACK.25",0.708084,"JACK",13
15,"JACK.25",0.7097194,"JACK",14
16,"JACK.25",0.7089824,"JACK",15
17,"JACK.25",0.7093581,"JACK",16
18,"JACK.25",0.709328,"JACK",17
19,"JACK.25",0.7086675,"JACK",18
20,"JACK.25",0.7089824,"JACK",19
21,"JACK.25",0.7085166,"JACK",20
22,"JACK.25",0.7093287,"JACK",21
23,"JACK.25",0.7088733,"JACK",22
24,"JACK.25",0.7087027,"JACK",23
25,"JACK.25",0.7087971,"JACK",24
26,"JACK.25",0.709122,"JACK",25
27,"JACK.25",0.709103,"JACK",26
28,"JACK.25",0.7098068,"JACK",27
29,"JACK.25",0.7090927,"JACK",28
30,"JACK.25",0.7092757,"JACK",29
31,"JACK.25",0.7092404,"JACK",30
32,"JACK.25",0.7091547,"JACK",31
33,"JACK.25",0.7089867,"JACK",32
34,"JACK.25",0.7091818,"JACK",33
35,"JACK.25",0.7092517,"JACK",34
36,"JACK.25",0.7099026,"JACK",35
37,"JACK.25",0.7090809,"JACK",36
38,"JACK.25",0.709184,"JACK",37
39,"JACK.25",0.7089099,"JACK",38
40,"JACK.25",0.708639,"JACK",39
41,"JACK.25",0.7096146,"JACK",40
42,"JACK.25",0.7090038,"JACK",41
43,"JACK.25",0.709819,"JACK",42
44,"JACK.25",0.7085958,"JACK",43
45,"JACK.25",0.7093341,"JACK",44
46,"JACK.25",0.7091721,"JACK",45
47,"JACK.25",0.7091287,"JACK",46
48,"JACK.25",0.7089809,"JACK",47
49,"JACK.25",0.7096106,"JACK",48
50,"JACK.25",0.7091613,"JACK",49
51,"JACK.25",0.7092801,"JACK",50
52,"JACK.25",0.7096345,"JACK",51
53,"JACK.25",0.7089393,"JACK",52
54,"JACK.25",0.709464,"JACK",53
55,"JACK.25",0.7088495,"JACK",54
56,"JACK.25",0.7091185,"JACK",55
57,"JACK.25",0.7090062,"JACK",56
58,"JACK.25",0.708718,"JACK",57
59,"JACK.25",0.7089245,"JACK",58
60,"JACK.25",0.7088939,"JACK",59
61,"JACK.25",0.7097998,"JACK",60
62,"JACK.25",0.7092467,"JACK",61
63,"JACK.25",0.7093677,"JACK",62
64,"JACK.25",0.7091221,"JACK",63
65,"JACK.25",0.7100667,"JACK",64
66,"JACK.25",0.7083305,"JACK",65
67,"JACK.25",0.7093996,"JACK",66
68,"JACK.25",0.7095767,"JACK",67
69,"JACK.25",0.7091293,"JACK",68
70,"JACK.25",0.7095042,"JACK",69
71,"JACK.25",0.7093821,"JACK",70
72,"JACK.25",0.7094059,"JACK",71
73,"JACK.25",0.7091965,"JACK",72
74,"JACK.25",0.7089641,"JACK",73
75,"JACK.25",0.7091543,"JACK",74
76,"JACK.25",0.7086501,"JACK",75
77,"JACK.25",0.7091751,"JACK",76
