"Measurement.number","Individual","Value","Group","Index"
1,"Elson.23.1",0.7089935,"Elson",1
2,"Elson.23.1",0.7076333,"Elson",2
3,"Elson.23.1",0.7109411,"Elson",3
4,"Elson.23.1",0.708918,"Elson",4
5,"Elson.23.1",0.7075126,"Elson",5
8,"Elson.23.1",0.7045879,"Elson",6
10,"Elson.23.1",0.7105553,"Elson",7
11,"Elson.23.1",0.7108685,"Elson",8
12,"Elson.23.1",0.7082151,"Elson",9
13,"Elson.23.1",0.7088339,"Elson",10
14,"Elson.23.1",0.7092279,"Elson",11
15,"Elson.23.1",0.7076649,"Elson",12
16,"Elson.23.1",0.7076962,"Elson",13
17,"Elson.23.1",0.7087217,"Elson",14
18,"Elson.23.1",0.7082778,"Elson",15
19,"Elson.23.1",0.7083206,"Elson",16
20,"Elson.23.1",0.7091523,"Elson",17
21,"Elson.23.1",0.7104275,"Elson",18
22,"Elson.23.1",0.7058661,"Elson",19
23,"Elson.23.1",0.7084539,"Elson",20
24,"Elson.23.1",0.7097142,"Elson",21
25,"Elson.23.1",0.7094442,"Elson",22
26,"Elson.23.1",0.7093229,"Elson",23
27,"Elson.23.1",0.7092316,"Elson",24
28,"Elson.23.1",0.7101244,"Elson",25
29,"Elson.23.1",0.7087353,"Elson",26
30,"Elson.23.1",0.7091502,"Elson",27
31,"Elson.23.1",0.7091013,"Elson",28
32,"Elson.23.1",0.7086863,"Elson",29
33,"Elson.23.1",0.7090242,"Elson",30
34,"Elson.23.1",0.7089105,"Elson",31
35,"Elson.23.1",0.7095368,"Elson",32
36,"Elson.23.1",0.7089619,"Elson",33
37,"Elson.23.1",0.7086758,"Elson",34
38,"Elson.23.1",0.7096562,"Elson",35
39,"Elson.23.1",0.710006,"Elson",36
40,"Elson.23.1",0.710243,"Elson",37
41,"Elson.23.1",0.7093231,"Elson",38
42,"Elson.23.1",0.7099246,"Elson",39
43,"Elson.23.1",0.7088327,"Elson",40
44,"Elson.23.1",0.7093454,"Elson",41
45,"Elson.23.1",0.7095778,"Elson",42
46,"Elson.23.1",0.7102894,"Elson",43
47,"Elson.23.1",0.708474,"Elson",44
48,"Elson.23.1",0.7104699,"Elson",45
49,"Elson.23.1",0.7092987,"Elson",46
50,"Elson.23.1",0.709141,"Elson",47
51,"Elson.23.1",0.7108134,"Elson",48
52,"Elson.23.1",0.709899,"Elson",49
53,"Elson.23.1",0.7097355,"Elson",50
54,"Elson.23.1",0.7083253,"Elson",51
55,"Elson.23.1",0.7083138,"Elson",52
56,"Elson.23.1",0.7099776,"Elson",53
57,"Elson.23.1",0.7093644,"Elson",54
58,"Elson.23.1",0.7098669,"Elson",55
59,"Elson.23.1",0.7098232,"Elson",56
60,"Elson.23.1",0.710618,"Elson",57
61,"Elson.23.1",0.7093026,"Elson",58
62,"Elson.23.1",0.7097274,"Elson",59
63,"Elson.23.1",0.7089269,"Elson",60
64,"Elson.23.1",0.7091316,"Elson",61
65,"Elson.23.1",0.7092547,"Elson",62
66,"Elson.23.1",0.7091639,"Elson",63
67,"Elson.23.1",0.7092072,"Elson",64
68,"Elson.23.1",0.7096242,"Elson",65
69,"Elson.23.1",0.7102604,"Elson",66
70,"Elson.23.1",0.7095937,"Elson",67
71,"Elson.23.1",0.7083333,"Elson",68
72,"Elson.23.1",0.7104394,"Elson",69
73,"Elson.23.1",0.7100356,"Elson",70
74,"Elson.23.1",0.7092777,"Elson",71
75,"Elson.23.1",0.7085489,"Elson",72
76,"Elson.23.1",0.7093119,"Elson",73
77,"Elson.23.1",0.7087312,"Elson",74
78,"Elson.23.1",0.7092191,"Elson",75
79,"Elson.23.1",0.709638,"Elson",76
80,"Elson.23.1",0.7100371,"Elson",77
81,"Elson.23.1",0.7090333,"Elson",78
82,"Elson.23.1",0.7106919,"Elson",79
83,"Elson.23.1",0.7083227,"Elson",80
